dish,1_star,2_star,3_star,4_star,5_star,average_star
onion rings,41,55,115,225,158,3.68013468013468
chicken,717,1338,2451,5452,4625,3.8180758417335254
fries,464,1003,1750,3326,2274,3.6740387887036405
onions,87,176,326,827,543,3.797856049004594
burger,674,1302,2263,4614,3829,3.7587131367292224
bacon,205,504,917,2166,2024,3.9112792297111416
cheeseburger,43,59,122,210,160,3.6481481481481484
fig,258,355,499,780,615,3.4543278819305945
cheese,665,1523,2803,6224,5221,3.8404112922852276
cheeseburgers,6,6,8,25,18,3.6825396825396823
burgers,236,467,821,1851,1396,3.7763571578285475
fish,255,513,809,1492,1246,3.6862108922363848
rice,1211,2465,4171,6848,4858,3.5971973610187695
choi,226,456,912,1878,1553,3.811144278606965
cole,32,72,124,230,228,3.801749271137026
slaw,41,89,182,369,295,3.807377049180328
hashbrowns,9,20,21,44,11,3.2666666666666666
browns,42,75,107,200,104,3.471590909090909
potato,344,811,1487,3364,2870,3.856804867057233
coleslaw,14,35,64,129,115,3.8291316526610646
hashbrown,10,20,23,51,18,3.3852459016393444
gin,729,991,1462,2811,2686,3.6606751929945847
water,642,834,960,1490,1383,3.4027123752119044
rum,104,207,367,808,733,3.8377647589004056
ale,674,1014,1544,3570,3399,3.784825017155181
loin,33,88,187,417,443,3.983732876712329
corned beef,23,51,77,137,116,3.6732673267326734
corned,23,54,78,141,117,3.665859564164649
fanta,71,188,463,1794,2723,4.318953998854743
tonics,2,3,4,12,15,3.9722222222222223
vodka,59,79,153,424,348,3.86829727187206
appetizer,438,781,1485,3078,2634,3.794795627376426
dill,45,78,157,287,194,3.6662286465177396
pepsi,16,15,10,13,12,2.8484848484848486
bread,470,1019,1767,3811,3361,3.8222094361334866
battered,12,35,57,143,118,3.8767123287671232
tart,682,1073,1654,3456,3524,3.7764943690441815
cabbage,13,24,52,91,80,3.773076923076923
soda,117,106,147,260,191,3.3678440925700364
liter,230,290,253,414,435,3.3292231812577064
tarte,340,566,846,1803,1796,3.77536908988974
french toast,32,74,164,420,364,3.9582542694497156
egg,390,841,1506,3345,2832,3.8288086156607584
toast,128,257,521,1143,942,3.8405215646940825
fried egg,8,26,71,159,140,3.982673267326733
appy,581,865,1784,4506,3476,3.8411523367820193
gravy,57,99,179,350,265,3.7021052631578946
chain,92,209,325,577,322,3.5429508196721313
steak,447,814,1253,2524,2599,3.78748199554799
biscuits,45,78,152,304,314,3.855543113101904
biscuit,79,150,262,505,478,3.782225237449118
cake,290,634,1293,3049,2772,3.91801443145061
pancakes,54,115,221,526,451,3.881492318946598
pancake,78,151,279,692,614,3.8891951488423375
coffee,191,339,565,1209,1300,3.8568257491675917
dessert,308,683,1221,3067,3351,3.981460023174971
fast food,47,77,129,204,178,3.6125984251968504
brownie,18,40,75,196,204,3.9906191369606003
potatoe,227,450,809,1740,1483,3.8073901040560627
potatoes,222,439,793,1690,1449,3.806662312214239
cran,27,56,102,213,190,3.8214285714285716
vege,124,322,507,1206,1201,3.904166666666667
refills,101,139,181,244,113,3.165809768637532
rueben,8,6,6,21,21,3.661290322580645
latte,72,146,292,603,628,3.9012062033314185
veggie,95,263,527,1217,954,3.8743455497382198
ipa,69,135,195,490,433,3.819213313161876
veggies,62,150,299,680,497,3.829383886255924
rye,29,51,62,100,81,3.473684210526316
cupcakes,5,12,19,41,58,4.0
crab,81,201,384,793,708,3.8518689432395017
beverage,79,79,184,314,270,3.666306695464363
hefeweizen,1,8,21,78,53,4.080745341614906
pork,142,347,650,1635,1649,3.9726430024869996
illy,56,102,155,394,279,3.7484787018255576
flan,7,22,27,80,60,3.836734693877551
baked potato,16,29,45,97,90,3.779783393501805
cottage cheese,2,8,10,20,12,3.6153846153846154
potato chip,8,37,77,189,156,3.9593147751605997
cotta,6,44,95,210,238,4.062394603709949
reuben,7,27,33,95,66,3.8157894736842106
catfish,6,5,18,35,43,3.97196261682243
hot dog,22,44,54,140,184,3.945945945945946
chocolate cake,11,51,87,258,261,4.058383233532934
chocolate,73,292,534,1505,1697,4.087783467446964
choco,73,293,538,1520,1711,4.088996372430471
choc,77,300,548,1559,1751,4.087839433293979
cola,81,305,577,1579,1766,4.077994428969359
salmon,118,257,538,1235,1125,3.9141460433852733
hamburger,82,101,134,242,197,3.490740740740741
meatloaf,35,61,131,295,239,3.8436268068331145
peas,20,29,76,151,149,3.8941176470588235
fried chicken,59,131,295,711,621,3.937809576224546
fruit,79,170,371,865,795,3.932894736842105
ice cream,54,123,279,706,774,4.044938016528926
sides,134,298,494,992,965,3.817204301075269
cream pie,5,20,26,85,84,4.013636363636364
coke,53,67,118,138,88,3.3038793103448274
ipas,6,20,46,84,78,3.888888888888889
vegetarian,48,150,268,628,648,3.9632606199770377
sweet potato,65,206,440,1095,902,3.9464549483013296
pastrami,2,17,54,160,155,4.157216494845361
yolk,9,26,22,76,60,3.7875647668393784
carnitas,3,6,9,36,29,3.9879518072289155
capers,3,18,25,61,56,3.914110429447853
spuds,0,1,4,6,5,3.9375
lays,20,29,33,85,64,3.6233766233766236
lobster,122,261,482,1040,1091,3.906875834445928
concoction,19,33,44,135,149,3.9526315789473685
berries,28,87,168,440,486,4.0496277915632755
munch,9,28,56,150,82,3.8246153846153845
nuts,46,131,237,623,633,3.9976047904191616
pancetta,3,20,27,95,93,4.071428571428571
nibbles,1,1,9,15,8,3.823529411764706
strawberries,14,36,81,202,217,4.04
almonds,3,6,40,99,88,4.114406779661017
sliders,65,136,310,695,478,3.8224465558194773
sourdough,16,25,58,128,106,3.84984984984985
tator,4,11,12,29,27,3.7710843373493974
red bull,3,8,13,13,7,3.2954545454545454
beverages,39,39,85,166,124,3.6556291390728477
cheddar,26,77,177,451,331,3.926553672316384
mousse,9,24,46,130,160,4.105691056910569
asparagus,36,121,185,431,426,3.909090909090909
baguette,8,21,40,99,74,3.8677685950413223
prosciutto,14,35,90,228,213,4.018965517241379
nova,25,39,68,159,183,3.919831223628692
halibut,12,46,70,184,208,4.019230769230769
whipped cream,8,27,54,139,142,4.027027027027027
bread pudding,10,38,110,307,384,4.1978798586572434
blackberries,0,8,7,31,27,4.054794520547945
raspberries,1,7,17,47,38,4.036363636363636
chardonnay,4,17,29,56,60,3.9096385542168677
zinfandel,4,5,6,30,17,3.8225806451612905
mojito,13,41,114,248,157,3.863874345549738
grapefruit,1,12,22,95,85,4.167441860465116
brie,28,70,133,285,253,3.8647594278283486
malbec,0,14,13,45,43,4.017391304347826
lattes,6,4,11,24,63,4.2407407407407405
chevre,0,3,6,10,8,3.8518518518518516
goat cheese,19,89,210,534,535,4.064888248017303
flourless,0,6,18,42,51,4.17948717948718
empanada,0,7,10,27,17,3.8852459016393444
blue cheese,39,90,183,441,371,3.9030249110320283
pinot noir,7,16,35,81,95,4.02991452991453
syrah,1,1,9,31,19,4.081967213114754
starter,37,86,180,406,395,3.9384057971014492
sea bass,24,49,98,192,219,3.915807560137457
green beans,17,29,71,151,117,3.8363636363636364
sorbet,5,36,51,133,240,4.219354838709678
crabmeat,0,2,10,15,11,3.9210526315789473
torte,4,20,34,98,101,4.058365758754864
scallops,42,121,243,605,838,4.122769064359113
ganache,0,4,11,29,38,4.2317073170731705
pom,15,27,75,204,198,4.046242774566474
cappuccino,7,18,15,56,68,3.975609756097561
arugula,16,55,92,233,211,3.9357495881383855
ciabatta,9,18,54,119,112,3.983974358974359
swiss,15,29,62,171,139,3.9375
caramel,26,81,246,597,630,4.091139240506329
shortbread,0,3,3,18,30,4.388888888888889
duck,30,102,197,440,594,4.075568598679384
mello,7,11,27,84,80,4.047846889952153
diced,11,18,27,72,54,3.769230769230769
cheesecake,86,190,460,989,677,3.824729392173189
figs,1,10,25,76,56,4.0476190476190474
custard,1,23,42,96,117,4.093189964157706
mule,4,18,27,94,124,4.1835205992509366
sauteed,10,26,70,177,152,4.0
orings,1,1,0,4,3,3.7777777777777777
smoked salmon,12,24,67,158,143,3.98019801980198
cookie,33,71,169,411,450,4.035273368606702
polenta,5,29,52,151,151,4.06701030927835
merlot,1,9,18,37,27,3.869565217391304
whiz,2,9,11,5,4,3.0
gazpacho,1,4,17,39,34,4.063157894736842
vegi,2,4,3,13,17,4.0
carmalized,0,1,3,5,3,3.8333333333333335
proscuitto,1,7,10,34,34,4.0813953488372094
chilean,3,12,17,45,41,3.9237288135593222
cheddar cheese,11,15,45,110,81,3.8969465648854964
liqueur,2,4,8,21,24,4.033898305084746
american cheese,5,12,21,35,24,3.6288659793814433
souffle,4,11,48,95,120,4.136690647482014
pork belly,21,49,100,285,360,4.1214723926380366
mcdonalds,40,23,19,23,17,2.622950819672131
shiraz,0,3,4,13,9,3.9655172413793105
icecream,2,3,4,13,23,4.155555555555556
vanilla,22,45,117,394,365,4.097560975609756
potato salad,10,20,45,101,81,3.867704280155642
tenderloin,13,43,96,242,251,4.046511627906977
pine nuts,3,8,25,90,63,4.068783068783069
grains,3,5,15,22,21,3.803030303030303
gorgonzola,11,19,48,114,103,3.9457627118644067
tofu,14,32,61,177,116,3.8725
potatos,3,13,13,36,16,3.6049382716049383
liquer,1,2,1,1,1,2.8333333333333335
cone,6,14,32,99,104,4.101960784313725
walnuts,3,18,40,91,84,3.9957627118644066
sundae,8,27,36,82,69,3.7972972972972974
english muffin,8,31,34,70,48,3.6230366492146597
provolone,4,22,50,108,73,3.8715953307392996
crabs,2,1,5,7,3,3.4444444444444446
carne,8,24,27,61,66,3.8225806451612905
ginger ale,3,7,9,31,36,4.046511627906977
baker,26,43,76,108,145,3.7613065326633164
swordfish,5,9,17,32,39,3.892156862745098
crumbles,6,7,27,39,38,3.8205128205128207
shortcake,2,6,21,57,46,4.053030303030303
veggie burger,9,43,82,181,127,3.8461538461538463
key lime pie,1,9,20,52,83,4.254545454545455
griddled,0,3,17,65,49,4.1940298507462686
muddled,2,9,21,36,30,3.8469387755102042
cuban,13,27,59,97,72,3.701492537313433
tilapia,2,6,19,29,23,3.8227848101265822
noodles,41,71,115,207,157,3.6226734348561758
medallions,2,8,17,32,35,3.9574468085106385
carna,5,7,8,12,13,3.466666666666667
benedicts,2,3,11,39,21,3.973684210526316
choclate,1,0,1,8,1,3.727272727272727
raisins,1,7,12,48,48,4.163793103448276
flounder,0,0,3,2,10,4.466666666666667
gelato,6,19,39,112,128,4.108552631578948
frittata,4,4,13,42,32,3.9894736842105263
toasts,0,6,7,15,20,4.020833333333333
talapia,0,2,0,2,3,3.857142857142857
belvedere,0,1,2,9,7,4.157894736842105
fennel,6,21,43,127,139,4.107142857142857
jasmine rice,0,2,6,18,11,4.027027027027027
cauliflower,12,30,62,143,174,4.038004750593824
red velvet cake,4,11,19,65,77,4.136363636363637
tiramisu,5,13,37,68,51,3.8448275862068964
tandoori chicken,0,2,5,22,15,4.136363636363637
tandoori,0,4,6,25,20,4.109090909090909
scallions,2,6,7,33,14,3.8225806451612905
mai tai,3,1,13,23,14,3.814814814814815
hot chocolate,4,17,13,59,58,3.993377483443709
broccoli,17,48,81,166,173,3.88659793814433
oreo,10,19,30,55,55,3.7455621301775146
carne asada,4,15,18,33,34,3.75
