,business_id,name,state,address,review_count,burger_total_reviews,burger_average_rating
0,HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar,WI,"2401 Parmenter St, Middleton, WI 53562",11,3,3.67
1,Nj0vQjUYjaa7qbvZlEr2jQ,Club Tavern & Grille,WI,"1915 Branch St, Middleton, WI 53562",16,2,4.0
2,yYIEKwgQUHJpySOcVdCAkg,Perkins Restaurant & Bakery,WI,"4863 Hayes Rd, Bluff Acres, Madison, WI 53704",8,1,4.0
3,11yg-JMNCFowyIjJarzuDQ,Hardee's,WI,"4814 Annamark Dr, Madison, WI 53704",5,2,4.0
4,oudTF4EN_C8thENGiTQf-w,Chili's,WI,"4344 E Towne Blvd, Madison, WI 53704",9,1,3.0
5,JdCFcgw4yk4M1ZRhAhBIag,Applebee's,WI,"4710 E Towne Blvd, Madison, WI 53704",13,1,4.0
6,HTplzElel_F_U_qhWuDKdg,Dexter's Pub,WI,"301 North St, Eken Park, Madison, WI 53704",53,9,3.44
7,JJFoeKZXgi2_LeECDMkkoQ,Tip Top Tavern,WI,"601 N St, Emerson East, Madison, WI 53704",21,5,4.2
8,j8nyAaN_w5t6wYv-ni23sg,Coach & Willies,AZ,"412 S 3rd St, Phoenix, AZ 85004",79,12,3.33
9,muCl5p-9ut1sY0aKeUeRhw,Cheuvront,AZ,"1326 N Central Ave, Phoenix, AZ 85004",189,2,3.0
10,jn3OgTqiQIFymRA9U0PTfQ,Arizona Baseball Club Restaurant,AZ,"401 E Jefferson St, Phoenix, AZ 85004",6,1,3.0
11,5-X03Zc0nN7U5eoe8uFUdw,Coronado Cafe,AZ,"2201 N 7th St, Phoenix, AZ 85006",175,25,3.76
12,Pfb6VOIiroqDWOebfgWGPQ,Phoenix City Grille,AZ,"5816 N 16th St, Phoenix, AZ 85016",197,30,4.1
13,rJ7HH85lo0wTNr5BiYGQ4Q,Adobe Restaurant-Arizona Biltmore Golf Club,AZ,"2400 E Missouri Ave, Phoenix, AZ 85016",15,3,2.0
14,2r8jGeuYvMkyP2ik_X-Bxw,The Cheesecake Factory,AZ,"2402 East Camelback, Space #101, Phoenix, AZ 85016",144,13,3.54
15,Ta-fY1c_E8qHBBDQGyxPkg,Bistro 24,AZ,"The Ritz-Carlton, Phoenix, 2401 East Camelback Road, Phoenix, AZ 85016",29,1,5.0
16,yPfvOB63thP5t3pGZPJExA,The Wrigley Mansion Club,AZ,"2501 E Telewa Trl, Phoenix, AZ 85016",112,7,3.86
17,Vu8od1U-h5qqwj3Jf_Hnzg,Souper Salad,AZ,"2045 E Camelback Rd, Phoenix, AZ 85016",15,1,4.0
