,business_id,name,state,address,review_count,average_rating
0,HaBkx5PwvbBpQ2iNCgHnVQ,Paul's Neighborhood Bar,WI,"2401 Parmenter St, Middleton, WI 53562",11,3.6
1,Nj0vQjUYjaa7qbvZlEr2jQ,Club Tavern & Grille,WI,"1915 Branch St, Middleton, WI 53562",16,2.5
2,yYIEKwgQUHJpySOcVdCAkg,Perkins Restaurant & Bakery,WI,"4863 Hayes Rd, Bluff Acres, Madison, WI 53704",8,2.62
3,11yg-JMNCFowyIjJarzuDQ,Hardee's,WI,"4814 Annamark Dr, Madison, WI 53704",5,3.75
4,oudTF4EN_C8thENGiTQf-w,Chili's,WI,"4344 E Towne Blvd, Madison, WI 53704",9,3.12
5,JdCFcgw4yk4M1ZRhAhBIag,Applebee's,WI,"4710 E Towne Blvd, Madison, WI 53704",13,2.46
6,HTplzElel_F_U_qhWuDKdg,Dexter's Pub,WI,"301 North St, Eken Park, Madison, WI 53704",53,3.69
7,O5lo-GKCG3cX8X4bh_DR_A,HomeTown Buffet,WI,"1745 Parkside Dr, Mayfair Park, Madison, WI 53704",16,3.0
8,-4PHmmCt_RmAfaE3sDKW_g,Mr Roberts,WI,"2116 Atwood Ave, Schenk - Atwood, Madison, WI 53704",11,2.78
9,JJFoeKZXgi2_LeECDMkkoQ,Tip Top Tavern,WI,"601 N St, Emerson East, Madison, WI 53704",21,4.47
10,JD1uVun5FEF_Ih2PnHCbuA,Dairyland Family Restaurant,WI,"716 Cottage Grove Rd, Eastmorland, Madison, WI 53716",11,2.91
11,2ZnCITVa0abGce4gZ6RhIw,Viad Tower Restaurants,AZ,"1850 N Central Ave, Phoenix, AZ 85004",5,3.67
12,EmzaQR5hQlF0WIl24NxAZA,Sky Lounge,AZ,"132 E Washington St, Phoenix, AZ 85004",20,2.58
13,j8nyAaN_w5t6wYv-ni23sg,Coach & Willies,AZ,"412 S 3rd St, Phoenix, AZ 85004",79,3.1
14,5XIvwfbIa-vuFEkkeCQ6kQ,Jackson's On 3rd,AZ,"245 E Jackson St, Phoenix, AZ 85004",10,2.0
15,muCl5p-9ut1sY0aKeUeRhw,Cheuvront,AZ,"1326 N Central Ave, Phoenix, AZ 85004",189,3.64
16,jn3OgTqiQIFymRA9U0PTfQ,Arizona Baseball Club Restaurant,AZ,"401 E Jefferson St, Phoenix, AZ 85004",6,3.33
17,5-X03Zc0nN7U5eoe8uFUdw,Coronado Cafe,AZ,"2201 N 7th St, Phoenix, AZ 85006",175,4.1
18,I4L_MJOZsnux3xCU2bLP8Q,Cranberry Hills Eatery & Catering,AZ,"3003 N Central Ave, Phoenix, AZ 85012",10,3.44
19,Pfb6VOIiroqDWOebfgWGPQ,Phoenix City Grille,AZ,"5816 N 16th St, Phoenix, AZ 85016",197,4.18
20,rJ7HH85lo0wTNr5BiYGQ4Q,Adobe Restaurant-Arizona Biltmore Golf Club,AZ,"2400 E Missouri Ave, Phoenix, AZ 85016",15,3.06
21,ut-kla-EA23nJOij_dcL0Q,California Pizza Kitchen,AZ,"2400 E. Camelback Rd, Ste. 112, Phoenix, AZ 85016",56,3.43
22,2r8jGeuYvMkyP2ik_X-Bxw,The Cheesecake Factory,AZ,"2402 East Camelback, Space #101, Phoenix, AZ 85016",144,3.45
23,Ta-fY1c_E8qHBBDQGyxPkg,Bistro 24,AZ,"The Ritz-Carlton, Phoenix, 2401 East Camelback Road, Phoenix, AZ 85016",29,4.24
24,imvNxppzxkLUPH64pQsDQg,Wright's,AZ,"2400 E Missouri Ave, Phoenix, AZ 85016",44,4.07
25,3m7khDnqH9QOg8gu3Ymumw,Oscar Taylor's,AZ,"2375 E Camelback Road, Phoenix, AZ 85016",6,3.0
26,yPfvOB63thP5t3pGZPJExA,The Wrigley Mansion Club,AZ,"2501 E Telewa Trl, Phoenix, AZ 85016",112,3.78
27,Vu8od1U-h5qqwj3Jf_Hnzg,Souper Salad,AZ,"2045 E Camelback Rd, Phoenix, AZ 85016",15,3.31
28,zMa6YoEekpABg1HZnnTZdg,Hillstone,AZ,"2650 E Camelback Rd, Phoenix, AZ 85016",319,3.89
