,name,unique_business_ids,all_business_ids,all_states,all_address
42,Applebee's Neighborhood Grill & Bar,2,"['ZusZ0l8gBpLvvYcTkuvRgw', 'smoGuW2a2Nume83mB3JJSw']","['WI', 'NV']","['660 S Whitney Way, Madison, WI 53711', '820 E Warm Springs Rd, Southeast, Las Vegas, NV 89119']"
44,Arcadia Farms Cafe,2,"['24V8QQWO6VaVggHdxjQQ_A', '3EEVGDngt4DEhoOQZIUNUw']","['AZ', 'AZ']","['7014 E 1st Ave, Scottsdale, AZ 85251', '1625 N Central Ave, Phoenix, AZ 85004']"
55,BJ's Restaurant & Brewhouse,7,"['IMGW6y8wHQCfr_6k-YXg_A', 'zORdAIouXrGO1yU4sIMweg', 'i213sY5rhkfCO8cD-FPr1A', '6v0vQm3wXzaFoEywvpbnqg', '1MMztCZKPtw9DoCVflfZFg', 'WBxuIQsxGl7vNe5MXYszCA', 'WD5l9HdTjDbqPRocncCrEQ']","['AZ', 'NV', 'AZ', 'AZ', 'NV', 'AZ', 'NV']","['3155 W.Chandler Blvd., Chandler, AZ 85226', '10840 West Charleston, Summerlin, Summerlin, NV 89135', '21001 North Tatum Blvd., Phoenix, AZ 85050', '9748 W. Northern Ave., Peoria, AZ 85345', '9520 S. Eastern Ave., Southeast, Henderson, NV 89123', '6622 E. Superstition Springs Blvd., Mesa, AZ 85206', '5881 Centennial Center Blvd., Centennial, Las Vegas, NV 89149']"
101,Blu Burger Grille,2,"['zuso11YrG2rewOtSFr4aCw', 'QEGx_9YMYzu_IOLaFz7arQ']","['AZ', 'AZ']","['23233 N Pima Rd, Scottsdale, AZ 85255', '7366 E Shea Blvd, Scottsdale, AZ 85260']"
140,Cafe Zupas,2,"['CMaJOgyFrX6gVsJGm1bttw', 'MkQz_wPoaELPVy6Hwwf7Ug']","['AZ', 'AZ']","['21001 N Tatum Blvd, Ste 34-110, Phoenix, AZ 85050', '2510 W Happy Valley Rd, Phoenix, AZ 85085']"
146,California Pizza Kitchen,9,"['ut-kla-EA23nJOij_dcL0Q', 'UpYva_zhJ6pRGfdTruIYIg', 'Nu0_tUBN6R9Oc-YsLVFNJg', '4qOPELunTvPQsmmnLDr4Jw', 'MWkIQNT5ewKwMfKbixgb6Q', 'JtvwIwSl6rXVKacqP8avyw', 'jsblnIZnHUQGufwVb_yX6g', 'ruhhxpj8IrxwMh25eFaKLQ', 'o5Xu5zGBgL4jruUXudm2yQ']","['AZ', 'AZ', 'AZ', 'AZ', 'NV', 'NV', 'AZ', 'AZ', 'NV']","['2400 E. Camelback Rd, Ste. 112, Phoenix, AZ 85016', '21001 N. Tatum Blvd, Ste 40-1370, Phoenix, AZ 85050', '3163 W Chandler Blvd, Ste 4, Chandler, AZ 85226', '10100 Scottsdale Rd., Scottsdale, AZ 85253', '3200 Las Vegas Blvd, Sp#1590, The Strip, Las Vegas, NV 89109', 'The Mirage Hotel and  Casino, 3400 Las Vegas Blvd S, The Strip, Las Vegas, NV 89109', '2000 E Rio Salado Pkwy, Ste 1253, Tempe, AZ 85281', '1850 South Val Vista Dr, Mesa, AZ 85204', '6659 Las Vegas Blvd South, Bldg C1, STE 100, Southeast, Las Vegas, NV 89119']"
147,Calistro California Bistro,2,"['EBwv1DBGKsfdNZEYL70Dqw', 'shpgZ07M-IBDwjz2cpjWiA']","['AZ', 'AZ']","['18221 N Pima Rd, Scottsdale, AZ 85255', '6107 N Scottsdale Rd, Ste 110, Scottsdale, AZ 85250']"
170,Cheddar's,2,"['oly8HWl0MtuioFWKPINIFg', 'huSYFgKj79uaZSerXcltZQ']","['AZ', 'AZ']","['2530 W Chandler Blvd, Chandler, AZ 85224', '2530 W Chandler Blvd, Chandler, AZ 85224']"
177,Chick-Fil-A,2,"['ZHPRAv3k2q662Q8Qj6zByg', 'XiCnbGY6R92Ji7r38jceZA']","['AZ', 'AZ']","['5035 E Ray Rd, Phoenix, AZ 85044', '1601 E Camelback Rd, Phoenix, AZ 85016']"
178,Chick-fil-A,2,"['DAIBZ-I6i5wEUsxEolzXBA', 'C51teWZIJIEGVYFTijaw_w']","['AZ', 'AZ']","['16657 N 83rd Ave, Peoria, AZ 85382', '905 N Dobson Rd, Mesa, AZ 85201']"
